Candy Name,chocolate,fruity,caramel,peanutyalmondy,crispedricewafer,hard,bar,pluribus,suggar percentage,price percentage,favorite percentage
100 Grand,1,0,1,0,1,0,1,0,0.732,0.86,66.972
3 Musketeers,1,0,0,0,0,0,1,0,0.604,0.511,67.603
One dime,0,0,0,0,0,0,0,0,0.011,0.116,32.261
One quarter,0,0,0,0,0,0,0,0,0.011,0.511,46.117
Air Heads,0,1,0,0,0,0,0,0,0.906,0.511,52.341
Almond Joy,1,0,0,1,0,0,1,0,0.465,0.767,50.348
Baby Ruth,1,0,1,1,0,0,1,0,0.604,0.767,56.915
Boston Baked Beans,0,0,0,1,0,0,0,1,0.313,0.511,23.418
Candy Corn,0,0,0,0,0,0,0,1,0.906,0.325,38.011
Caramel Apple Pops,0,1,1,0,0,0,0,0,0.604,0.325,34.518
Charleston Chew,1,0,0,0,0,0,1,0,0.604,0.511,38.975
Chewey Lemonhead Fruit Mix,0,1,0,0,0,0,0,1,0.732,0.511,36.018
Chiclets,0,1,0,0,0,0,0,1,0.046,0.325,24.525
Dots,0,1,0,0,0,0,0,1,0.732,0.511,42.272
Dum Dums,0,1,0,0,0,1,0,0,0.732,0.034,39.461
Fruit Chews,0,1,0,0,0,0,0,1,0.127,0.034,43.089
Fun Dip,0,1,0,0,0,1,0,0,0.732,0.325,39.186
Gobstopper,0,1,0,0,0,1,0,1,0.906,0.453,46.783
Haribo Gold Bears,0,1,0,0,0,0,0,1,0.465,0.465,57.12
Haribo Happy Cola,0,0,0,0,0,0,0,1,0.465,0.465,34.159
Haribo Sour Bears,0,1,0,0,0,0,0,1,0.465,0.465,51.412
Haribo Twin Snakes,0,1,0,0,0,0,0,1,0.465,0.465,42.179
"Hershey's Kisses",1,0,0,0,0,0,0,1,0.127,0.093,55.375
"Hershey's Krackel",1,0,0,0,1,0,1,0,0.43,0.918,62.284
"Hershey's Milk Chocolate",1,0,0,0,0,0,1,0,0.43,0.918,56.491
"Hershey's Special Dark",1,0,0,0,0,0,1,0,0.43,0.918,59.236
Jawbusters,0,1,0,0,0,1,0,1,0.093,0.511,28.127
Junior Mints,1,0,0,0,0,0,0,1,0.197,0.511,57.219
Kit Kat,1,0,0,0,1,0,1,0,0.313,0.511,76.769
Laffy Taffy,0,1,0,0,0,0,0,0,0.22,0.116,41.39
Lemonhead,0,1,0,0,0,1,0,0,0.046,0.104,39.141
Lifesavers big ring gummies,0,1,0,0,0,0,0,0,0.267,0.279,52.911
"Peanut butter M&M'S",1,0,0,1,0,0,0,1,0.825,0.651,71.465
"M&M'S",1,0,0,0,0,0,0,1,0.825,0.651,66.575
Mike & Ike,0,1,0,0,0,0,0,1,0.872,0.325,46.412
Milk Duds,1,0,1,0,0,0,0,1,0.302,0.511,55.064
Milky Way,1,0,1,0,0,0,1,0,0.604,0.651,73.1
Milky Way Midnight,1,0,1,0,0,0,1,0,0.732,0.441,60.801
Milky Way Simply Caramel,1,0,1,0,0,0,1,0,0.965,0.86,64.353
Mounds,1,0,0,0,0,0,1,0,0.313,0.86,47.83
Mr Good Bar,1,0,0,1,0,0,1,0,0.313,0.918,54.526
Nerds,0,1,0,0,0,1,0,1,0.848,0.325,55.354
Nestle Butterfinger,1,0,0,1,0,0,1,0,0.604,0.767,70.736
Nestle Crunch,1,0,0,0,1,0,1,0,0.313,0.767,66.471
Nik L Nip,0,1,0,0,0,0,0,1,0.197,0.976,22.445
Now & Later,0,1,0,0,0,0,0,1,0.22,0.325,39.447
Payday,0,0,0,1,0,0,1,0,0.465,0.767,46.297
Peanut M&Ms,1,0,0,1,0,0,0,1,0.593,0.651,69.484
Pixie Sticks,0,0,0,0,0,0,0,1,0.093,0.023,37.722
Pop Rocks,0,1,0,0,0,1,0,1,0.604,0.837,41.266
Red vines,0,1,0,0,0,0,0,1,0.581,0.116,37.349
"Reese's Miniatures",1,0,0,1,0,0,0,0,0.034,0.279,81.866
"Reese's Peanut Butter cup",1,0,0,1,0,0,0,0,0.72,0.651,84.18
"Reese's pieces",1,0,0,1,0,0,0,1,0.406,0.651,73.435
"Reese's stuffed with pieces",1,0,0,1,0,0,0,0,0.988,0.651,72.888
Ring pop,0,1,0,0,0,1,0,0,0.732,0.965,35.291
Rolo,1,0,1,0,0,0,0,1,0.86,0.86,65.716
Root Beer Barrels,0,0,0,0,0,1,0,1,0.732,0.069,29.704
