pickup_date,borough,pickups,speed
1/1/15 1:00,Bronx,152,5
1/1/15 1:00,Brooklyn,1519,5
1/1/15 1:00,Manhattan,5258,5
1/1/15 1:00,Queens,405,5
1/1/15 1:00,Staten Island,6,5
1/1/15 2:00,Bronx,120,3
1/1/15 2:00,Brooklyn,1229,3
1/1/15 2:00,Manhattan,4345,3
1/1/15 2:00,Queens,331,3
1/1/15 2:00,Staten Island,7,3
1/1/15 3:00,Bronx,132,5
1/1/15 3:00,Brooklyn,1601,5
1/1/15 3:00,Manhattan,4577,5
1/1/15 3:00,Queens,440,5
1/1/15 3:00,Staten Island,12,5
1/1/15 4:00,Bronx,128,5
1/1/15 4:00,Brooklyn,1390,5
1/1/15 4:00,Manhattan,3003,5
1/1/15 4:00,Queens,344,5
1/1/15 4:00,Staten Island,5,5
1/1/15 5:00,Bronx,87,5
1/1/15 5:00,Brooklyn,759,5
1/1/15 5:00,Manhattan,1313,5
1/1/15 5:00,Queens,241,5
1/1/15 5:00,Staten Island,3,5
1/1/15 6:00,Bronx,65,10
1/1/15 6:00,Brooklyn,457,10
1/1/15 6:00,Manhattan,672,10
1/1/15 6:00,Queens,148,10
1/1/15 6:00,Staten Island,0,10
1/1/15 7:00,Bronx,25,9
1/1/15 7:00,Brooklyn,270,9
1/1/15 7:00,Manhattan,431,9
1/1/15 7:00,Queens,95,9
1/1/15 7:00,Staten Island,0,9
1/1/15 8:00,Bronx,17,7
1/1/15 8:00,Brooklyn,165,7
1/1/15 8:00,Manhattan,329,7
1/1/15 8:00,Queens,69,7
1/1/15 8:00,Staten Island,0,7
1/1/15 9:00,Bronx,13,3
1/1/15 9:00,Brooklyn,149,3
1/1/15 9:00,Manhattan,319,3
1/1/15 9:00,Queens,83,3
1/1/15 9:00,Staten Island,1,3
1/1/15 10:00,Bronx,14,3
1/1/15 10:00,Brooklyn,120,3
1/1/15 10:00,Manhattan,420,3
1/1/15 10:00,Queens,98,3
1/1/15 10:00,Staten Island,1,3
1/1/15 11:00,Bronx,14,3
1/1/15 11:00,Brooklyn,180,3
1/1/15 11:00,Manhattan,586,3
1/1/15 11:00,Queens,122,3
1/1/15 11:00,Staten Island,1,3
1/1/15 12:00,Bronx,12,3
1/1/15 12:00,Brooklyn,220,3
1/1/15 12:00,Manhattan,770,3
1/1/15 12:00,Queens,141,3
1/1/15 12:00,Staten Island,3,3
1/1/15 13:00,Bronx,18,7
1/1/15 13:00,Brooklyn,253,7
1/1/15 13:00,Manhattan,931,7
1/1/15 13:00,Queens,154,7
1/1/15 13:00,Staten Island,3,7
1/1/15 14:00,Bronx,23,0
1/1/15 14:00,Brooklyn,337,0
1/1/15 14:00,Manhattan,1012,0
1/1/15 14:00,Queens,203,0
1/1/15 14:00,Staten Island,1,0
1/1/15 15:00,Bronx,21,6
1/1/15 15:00,Brooklyn,371,6
1/1/15 15:00,Manhattan,1143,6
1/1/15 15:00,Queens,219,6
1/1/15 15:00,Staten Island,4,6
1/1/15 16:00,Bronx,19,3
1/1/15 16:00,Brooklyn,418,3
1/1/15 16:00,Manhattan,1317,3
1/1/15 16:00,Queens,247,3
1/1/15 16:00,Staten Island,1,3
1/1/15 17:00,Bronx,39,11
1/1/15 17:00,Brooklyn,444,11
1/1/15 17:00,Manhattan,1582,11
1/1/15 17:00,Queens,238,11
1/1/15 17:00,Staten Island,1,11
1/1/15 18:00,Bronx,28,10
1/1/15 18:00,Brooklyn,456,10
1/1/15 18:00,Manhattan,1485,10
1/1/15 18:00,Queens,257,10
1/1/15 18:00,Staten Island,0,10
1/1/15 19:00,Bronx,26,7
1/1/15 19:00,Brooklyn,463,7
1/1/15 19:00,Manhattan,1520,7
1/1/15 19:00,Queens,238,7
1/1/15 19:00,Staten Island,1,7
1/1/15 20:00,Bronx,33,9
1/1/15 20:00,Brooklyn,419,9
1/1/15 20:00,Manhattan,1444,9
1/1/15 20:00,Queens,250,9
1/1/15 20:00,Staten Island,0,9
1/1/15 21:00,Bronx,30,8
1/1/15 21:00,Brooklyn,439,8
1/1/15 21:00,Manhattan,1235,8
1/1/15 21:00,Queens,260,8
1/1/15 21:00,Staten Island,1,8
1/1/15 22:00,Bronx,32,11
1/1/15 22:00,Brooklyn,446,11
1/1/15 22:00,Manhattan,1153,11
1/1/15 22:00,Queens,267,11
1/1/15 22:00,Staten Island,1,11
1/1/15 23:00,Bronx,27,7
1/1/15 23:00,Brooklyn,423,7
1/1/15 23:00,Manhattan,1025,7
1/1/15 23:00,Queens,258,7
1/1/15 23:00,Staten Island,1,7
1/2/15 0:00,Bronx,24,0
1/2/15 0:00,Brooklyn,331,0
1/2/15 0:00,Manhattan,808,0
1/2/15 0:00,Queens,220,0
1/2/15 0:00,Staten Island,1,0
1/2/15 1:00,Bronx,19,7
1/2/15 1:00,Brooklyn,279,7
1/2/15 1:00,Manhattan,666,7
1/2/15 1:00,Queens,107,7
1/2/15 1:00,Staten Island,0,7
1/2/15 2:00,Bronx,16,9
1/2/15 2:00,Brooklyn,154,9
1/2/15 2:00,Manhattan,330,9
1/2/15 2:00,Queens,50,9
1/2/15 2:00,Staten Island,0,9
1/2/15 3:00,Bronx,7,8
1/2/15 3:00,Brooklyn,110,8
1/2/15 3:00,Manhattan,240,8
1/2/15 3:00,Queens,31,8
1/2/15 3:00,Staten Island,0,8
1/2/15 4:00,Bronx,10,10
1/2/15 4:00,Brooklyn,109,10
1/2/15 4:00,Manhattan,241,10
1/2/15 4:00,Queens,35,10
1/2/15 4:00,Staten Island,0,10
1/2/15 5:00,Bronx,9,10
1/2/15 5:00,Brooklyn,88,10
1/2/15 5:00,Manhattan,268,10
1/2/15 5:00,Queens,49,10
1/2/15 5:00,Staten Island,0,10
1/2/15 6:00,Bronx,7,8
1/2/15 6:00,Brooklyn,118,8
1/2/15 6:00,Manhattan,362,8
1/2/15 6:00,Queens,86,8
1/2/15 6:00,Staten Island,0,8
1/2/15 7:00,Bronx,15,8
1/2/15 7:00,Brooklyn,148,8
1/2/15 7:00,Manhattan,430,8
1/2/15 7:00,Queens,97,8
1/2/15 7:00,Staten Island,2,8
1/2/15 8:00,Bronx,11,7
1/2/15 8:00,Brooklyn,215,7
1/2/15 8:00,Manhattan,589,7
1/2/15 8:00,Queens,128,7
1/2/15 8:00,Staten Island,1,7
1/2/15 9:00,Bronx,10,5
1/2/15 9:00,Brooklyn,289,5
1/2/15 9:00,Manhattan,843,5
1/2/15 9:00,Queens,141,5
1/2/15 9:00,Staten Island,0,5
1/2/15 10:00,Bronx,21,3
1/2/15 10:00,Brooklyn,308,3
1/2/15 10:00,Manhattan,893,3
1/2/15 10:00,Queens,165,3
1/2/15 10:00,Staten Island,0,3
1/2/15 11:00,Bronx,21,8
1/2/15 11:00,Brooklyn,294,8
1/2/15 11:00,Manhattan,1002,8
1/2/15 11:00,Queens,150,8
1/2/15 11:00,Staten Island,0,8
1/2/15 12:00,Bronx,26,5
1/2/15 12:00,Brooklyn,324,5
1/2/15 12:00,Manhattan,1219,5
1/2/15 12:00,Queens,169,5
1/2/15 12:00,Staten Island,0,5
1/2/15 13:00,Bronx,30,7
1/2/15 13:00,Brooklyn,333,7
1/2/15 13:00,Manhattan,1292,7
1/2/15 13:00,Queens,156,7
1/2/15 13:00,Staten Island,0,7
1/2/15 14:00,Bronx,16,6
1/2/15 14:00,Brooklyn,317,6
1/2/15 14:00,Manhattan,1287,6
1/2/15 14:00,Queens,176,6
1/2/15 14:00,Staten Island,0,6
1/2/15 15:00,Bronx,19,8
1/2/15 15:00,Brooklyn,289,8
1/2/15 15:00,Manhattan,1317,8
1/2/15 15:00,Queens,278,8
1/2/15 15:00,Staten Island,1,8
1/2/15 16:00,Bronx,24,9.5
1/2/15 16:00,Brooklyn,351,9.5
1/2/15 16:00,Manhattan,1565,9.5
1/2/15 16:00,Queens,266,9.5
1/2/15 16:00,Staten Island,1,9.5
1/2/15 17:00,Bronx,35,11
1/2/15 17:00,Brooklyn,326,11
1/2/15 17:00,Manhattan,2030,11
1/2/15 17:00,Queens,224,11
1/2/15 17:00,Staten Island,0,11
1/2/15 18:00,Bronx,29,10
1/2/15 18:00,Brooklyn,422,10
1/2/15 18:00,Manhattan,2081,10
1/2/15 18:00,Queens,246,10
1/2/15 18:00,Staten Island,6,10
1/2/15 19:00,Bronx,34,9
1/2/15 19:00,Brooklyn,490,9
1/2/15 19:00,Manhattan,2370,9
1/2/15 19:00,Queens,292,9
1/2/15 19:00,Staten Island,0,9
1/2/15 20:00,Bronx,36,8.5
1/2/15 20:00,Brooklyn,497,8.5
1/2/15 20:00,Manhattan,2048,8.5
1/2/15 20:00,Queens,311,8.5
1/2/15 20:00,Staten Island,3,8.5
1/2/15 21:00,Bronx,29,8
1/2/15 21:00,Brooklyn,480,8
1/2/15 21:00,Manhattan,1806,8
1/2/15 21:00,Queens,330,8
1/2/15 21:00,Staten Island,3,8
1/2/15 22:00,Bronx,44,9
1/2/15 22:00,Brooklyn,484,9
1/2/15 22:00,Manhattan,1818,9
1/2/15 22:00,Queens,329,9
1/2/15 22:00,Staten Island,3,9
1/2/15 23:00,Bronx,53,7
1/2/15 23:00,Brooklyn,555,7
1/2/15 23:00,Manhattan,1918,7
1/2/15 23:00,Queens,310,7
1/2/15 23:00,Staten Island,1,7
1/3/15 0:00,Bronx,44,10
1/3/15 0:00,Brooklyn,572,10
1/3/15 0:00,Manhattan,1685,10
1/3/15 0:00,Queens,283,10
1/3/15 0:00,Staten Island,2,10
1/3/15 1:00,Bronx,27,6
1/3/15 1:00,Brooklyn,495,6
1/3/15 1:00,Manhattan,1263,6
1/3/15 1:00,Queens,170,6
1/3/15 1:00,Staten Island,0,6
1/3/15 2:00,Bronx,30,5
1/3/15 2:00,Brooklyn,346,5
1/3/15 2:00,Manhattan,969,5
1/3/15 2:00,Queens,106,5
1/3/15 2:00,Staten Island,3,5
1/3/15 3:00,Bronx,14,5
1/3/15 3:00,Brooklyn,235,5
1/3/15 3:00,Manhattan,763,5
1/3/15 3:00,Queens,97,5
1/3/15 3:00,Staten Island,0,5
1/3/15 4:00,Bronx,20,3
1/3/15 4:00,Brooklyn,210,3
1/3/15 4:00,Manhattan,622,3
1/3/15 4:00,Queens,77,3
1/3/15 4:00,Staten Island,0,3
1/3/15 5:00,Bronx,14,5
1/3/15 5:00,Brooklyn,126,5
1/3/15 5:00,Manhattan,384,5
1/3/15 5:00,Queens,77,5
1/3/15 5:00,Staten Island,1,5
1/3/15 6:00,Bronx,15,7
1/3/15 6:00,Brooklyn,115,7
1/3/15 6:00,Manhattan,326,7
1/3/15 6:00,Queens,112,7
1/3/15 6:00,Staten Island,0,7
1/3/15 7:00,Bronx,12,0
1/3/15 7:00,Brooklyn,104,0
1/3/15 7:00,Manhattan,310,0
1/3/15 7:00,Queens,125,0
1/3/15 7:00,Staten Island,0,0
1/3/15 8:00,Bronx,14,6
1/3/15 8:00,Brooklyn,128,6
1/3/15 8:00,Manhattan,312,6
1/3/15 8:00,Queens,124,6
1/3/15 8:00,Staten Island,0,6
1/3/15 9:00,Bronx,14,7
1/3/15 9:00,Brooklyn,198,7
1/3/15 9:00,Manhattan,527,7
1/3/15 9:00,Queens,160,7
1/3/15 9:00,Staten Island,0,7
1/3/15 10:00,Bronx,13,6
1/3/15 10:00,Brooklyn,274,6
1/3/15 10:00,Manhattan,717,6
1/3/15 10:00,Queens,127,6
1/3/15 10:00,Staten Island,0,6
1/3/15 11:00,Bronx,18,6
1/3/15 11:00,Brooklyn,363,6
1/3/15 11:00,Manhattan,1069,6
1/3/15 11:00,Queens,199,6
1/3/15 11:00,Staten Island,1,6
1/3/15 12:00,Bronx,24,6
1/3/15 12:00,Brooklyn,437,6
1/3/15 12:00,Manhattan,1309,6
1/3/15 12:00,Queens,183,6
1/3/15 12:00,Staten Island,0,6
1/3/15 13:00,Bronx,27,9
1/3/15 13:00,Brooklyn,425,9
1/3/15 13:00,Manhattan,1865,9
1/3/15 13:00,Queens,230,9
1/3/15 13:00,Staten Island,0,9
1/3/15 14:00,Bronx,36,7
1/3/15 14:00,Brooklyn,495,7
1/3/15 14:00,Manhattan,2182,7
1/3/15 14:00,Queens,267,7
1/3/15 14:00,Staten Island,1,7
1/3/15 15:00,Bronx,37,5.5
1/3/15 15:00,Brooklyn,541,5.5
1/3/15 15:00,Manhattan,2303,5.5
1/3/15 15:00,Queens,329,5.5
1/3/15 15:00,Staten Island,0,5.5
1/3/15 16:00,Bronx,32,9
1/3/15 16:00,Brooklyn,589,9
1/3/15 16:00,Manhattan,2465,9
1/3/15 16:00,Queens,352,9
1/3/15 16:00,Staten Island,1,9
1/3/15 17:00,Bronx,37,7
1/3/15 17:00,Brooklyn,623,7
1/3/15 17:00,Manhattan,3375,7
