Date,BookTitle
2024-01-01,Lord of the Flies
2024-01-01,1984
2024-01-01,Lord of the Flies
2024-01-01,1984
2024-01-01,The Great Gatsby
2024-01-01,The Corrections
2024-01-01,The Lord of the Rings
2024-01-01,The Corrections
2024-01-01,The Great Gatsby
2024-01-01,The Corrections
2024-01-01,The Corrections
2024-01-01,The Catcher in the Rye
2024-01-01,The Catcher in the Rye
2024-01-01,The Catcher in the Rye
2024-01-01,The Catcher in the Rye
2024-01-01,Lord of the Flies
2024-01-01,The Catcher in the Rye
2024-01-01,The Great Gatsby
2024-01-01,The Lord of the Rings
2024-01-01,The Lord of the Rings
2024-01-01,The Catcher in the Rye
2024-01-01,Lord of the Flies
2024-01-01,The Corrections
2024-01-01,The Great Gatsby
2024-01-01,The Lord of the Rings
2024-01-01,The Lord of the Rings
2024-01-01,Crime and Punishment
2024-01-01,The Lord of the Rings
2024-01-01,1984
2024-01-01,Lord of the Flies
2024-01-01,To Kil A Mockingbird
2024-01-01,The Catcher in the Rye
2024-01-01,The Great Gatsby
2024-01-01,The Great Gatsby
2024-01-01,The Corrections
2024-01-01,Lord of the Flies
2024-01-01,To Kil A Mockingbird
2024-01-01,The Lord of the Rings
2024-01-01,The Catcher in the Rye
2024-01-01,1984
2024-01-01,The Corrections
2024-01-01,Lord of the Flies
2024-01-01,Crime and Punishment
2024-01-01,The Lord of the Rings
2024-01-01,Lord of the Flies
2024-01-01,The Corrections
2024-01-01,Crime and Punishment
2024-01-01,Lord of the Flies
2024-01-01,To Kil A Mockingbird
2024-01-01,1984
2024-01-01,The Lord of the Rings
2024-01-01,To Kil A Mockingbird
2024-01-01,The Great Gatsby
2024-01-01,1984
2024-01-01,The Catcher in the Rye
2024-01-01,Lord of the Flies
2024-01-01,The Corrections
2024-01-01,Lord of the Flies
2024-01-01,The Lord of the Rings
2024-01-01,1984
2024-01-01,The Catcher in the Rye
2024-01-01,Lord of the Flies
2024-01-01,The Great Gatsby
2024-01-01,The Lord of the Rings
2024-01-01,Crime and Punishment
2024-01-01,The Corrections
2024-01-01,The Catcher in the Rye
2024-01-01,Crime and Punishment
2024-01-01,Lord of the Flies
2024-01-01,1984
2024-01-01,1984
2024-01-01,The Lord of the Rings
2024-01-01,Crime and Punishment
2024-01-01,The Lord of the Rings
2024-01-01,1984
2024-01-01,Lord of the Flies
2024-01-01,1984
2024-01-01,The Corrections
2024-01-01,Lord of the Flies
2024-01-01,To Kil A Mockingbird
2024-01-01,To Kil A Mockingbird
2024-01-01,Lord of the Flies
2024-01-01,1984
2024-01-01,1984
2024-01-01,Crime and Punishment
2024-01-01,Lord of the Flies
2024-01-01,1984
2024-01-01,The Lord of the Rings
2024-01-01,The Catcher in the Rye
2024-01-01,Crime and Punishment
2024-01-01,1984
2024-01-01,1984
2024-01-01,The Corrections
2024-01-01,1984
2024-01-01,The Corrections
2024-01-01,Crime and Punishment
2024-01-01,The Catcher in the Rye
2024-01-01,Crime and Punishment
2024-01-01,The Catcher in the Rye
2024-01-01,The Lord of the Rings
2024-01-01,The Lord of the Rings
2024-01-01,The Catcher in the Rye
2024-01-01,The Lord of the Rings
2024-01-01,Lord of the Flies
2024-01-01,To Kil A Mockingbird
2024-01-01,The Lord of the Rings
2024-01-01,1984
2024-01-01,The Great Gatsby
2024-01-01,The Great Gatsby
2024-01-01,1984
2024-01-01,The Great Gatsby
2024-01-01,1984
2024-01-01,Crime and Punishment
2024-01-01,To Kil A Mockingbird
2024-01-01,The Catcher in the Rye
2024-01-01,To Kil A Mockingbird
2024-01-01,1984
2024-01-01,To Kil A Mockingbird
2024-01-01,To Kil A Mockingbird
2024-01-01,The Catcher in the Rye
2024-01-01,The Lord of the Rings
2024-01-01,Crime and Punishment
2024-01-01,Lord of the Flies
2024-01-01,To Kil A Mockingbird
2024-01-01,The Great Gatsby
2024-01-01,The Lord of the Rings
2024-01-01,The Corrections
2024-01-01,To Kil A Mockingbird
2024-01-01,To Kil A Mockingbird
2024-01-01,The Lord of the Rings
2024-01-01,1984
2024-01-01,Crime and Punishment
2024-01-01,The Corrections
2024-01-01,The Catcher in the Rye
2024-01-01,Lord of the Flies
2024-01-01,Crime and Punishment
2024-01-01,Crime and Punishment
2024-01-01,Lord of the Flies
2024-01-01,The Catcher in the Rye
2024-01-01,Lord of the Flies
2024-01-01,The Corrections
2024-01-01,Lord of the Flies
2024-01-01,Lord of the Flies
2024-01-01,Lord of the Flies
2024-01-01,The Catcher in the Rye
2024-01-01,The Corrections
2024-01-01,To Kil A Mockingbird
2024-01-01,The Great Gatsby
2024-01-01,To Kil A Mockingbird
2024-01-01,The Catcher in the Rye
2024-01-01,Lord of the Flies
2024-01-01,To Kil A Mockingbird
2024-01-02,The Great Gatsby
2024-01-02,The Catcher in the Rye
2024-01-02,To Kil A Mockingbird
2024-01-02,To Kil A Mockingbird
2024-01-02,The Corrections
2024-01-02,Lord of the Flies
2024-01-02,Lord of the Flies
2024-01-02,The Great Gatsby
2024-01-02,To Kil A Mockingbird
2024-01-02,Crime and Punishment
2024-01-02,The Great Gatsby
2024-01-02,The Catcher in the Rye
2024-01-02,The Great Gatsby
2024-01-02,1984
2024-01-02,The Catcher in the Rye
