Region,Date,Segment,Country,Currency,Product,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts,Sales,COGS,Profit
APAC,2022-02-01,Small Business,Japan,JPY,VTT,Low,1778,260,350,622300,24892,597408,462280,135128
APAC,2022-02-01,Enterprise,China,CNY,Velo,Medium,1802,10,20,36040,1802,34238,18020,16218
APAC,2022-02-01,Enterprise,Japan,JPY,Velo,Medium,2436,250,300,730800,43848,686952,609000,77952
APAC,2022-02-01,Government,China,CNY,Montana,Medium,1421,120,20,28420,1989.4,26430.6,14210,12220.6
APAC,2022-02-01,Government,China,CNY,Amarilla,High,808,250,300,242400,19392,223008,202000,21008
APAC,2022-02-01,Channel Partners,China,CNY,Carretera,High,1611,5,7,11277,1014.93,10262.07,8055,2207.07
APAC,2022-02-01,Government,Japan,JPY,Amarilla,High,1916,120,125,239500,23950,215550,229920,-14370
APAC,2022-02-01,Government,Japan,JPY,Montana,High,2015,260,12,24180,3385.2,20794.8,6045,14749.8
APAC,2022-02-01,Government,Japan,JPY,Paseo,High,2438,120,125,304750,45712.5,259037.5,292560,-33522.5
APAC,2022-03-01,Government,China,CNY,VTT,Low,727,10,350,254450,15267,239183,189020,50163
APAC,2022-03-01,Enterprise,China,CNY,Paseo,Low,727,260,350,254450,15267,239183,189020,50163
APAC,2022-03-01,Midmarket,China,CNY,Montana,Low,386,3,12,4632,463.2,4168.8,1158,3010.8
APAC,2022-03-01,Channel Partners,Japan,JPY,Velo,Low,386,10,12,4632,463.2,4168.8,1158,3010.8
APAC,2022-03-01,Enterprise,Japan,JPY,Paseo,Medium,2294,120,300,688200,68820,619380,573500,45880
APAC,2022-03-01,Government,Japan,JPY,Carretera,Medium,2294,250,300,688200,68820,619380,573500,45880
APAC,2022-03-01,Channel Partners,China,CNY,Velo,Medium,2996,3,7,20972,2936.08,18035.92,14980,3055.92
APAC,2022-03-01,Government,Japan,JPY,Paseo,Medium,2996,5,7,20972,2936.08,18035.92,14980,3055.92
APAC,2022-03-01,Small Business,Japan,JPY,Amarilla,High,1743,10,15,26145,3660.3,22484.7,17430,5054.7
APAC,2022-03-01,Government,Japan,JPY,VTT,High,269,120,300,80700,11298,69402,67250,2152
